"","yearMonth15","station_id","depth","A-TOT","BOD5","Chl-a","CO2","Density","NH4-N","NO2-N","NO3-N","NO3-N + NO2-N","NO3/PO4","O2","O2_sat","Org-N","pH","PO4-P","SAL","SECCHI","SiO3-Si","T","TOT-N","TOT-N/TOT-P","TOT-P"
"1",1977-06-15,"00MA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA
"2",1978-03-15,"000K",0,2.785,NA,NA,2.385,28.535,0.72,0.19,1.9,2.09,20.255,282.92,NA,NA,8.39,0.095,36.89,NA,15.1,9.46,NA,NA,0.225
"3",1978-03-15,"000K",10,2.775,7.59,NA,2.435,28.815,3.52,0.175,0.94,1.115,9.79,288.5,NA,NA,8.43,0.1,37.14,NA,8.29,8.98,NA,NA,0.225
"4",1978-03-15,"00MA",0,2.88,12.5,NA,2.52,28.75,0.24,0.2,1.26,1.46,8.4,284.04,NA,NA,8.33,0.15,37.27,NA,13.86,9.89,NA,NA,0.18
"5",1978-03-15,"00MA",5,NA,NA,NA,NA,28.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.1,NA,NA,9.91,NA,NA,NA
"6",1978-03-15,"00MA",10,2.87,NA,NA,2.51,28.86,0.24,0.2,0.56,0.76,18.67,285.38,NA,NA,8.33,0.03,37.36,NA,14.6,9.62,NA,NA,0.33
"7",1978-03-15,"00MA",15,NA,NA,NA,NA,28.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.36,NA,NA,9.22,NA,NA,NA
"8",1978-04-15,"000K",0,2.67,NA,NA,2.33,27.96,1.44,0.18,5.12,5.3,12.8,283.14,NA,NA,8.34,0.4,36.49,NA,13.12,10.85,NA,NA,0.05
"9",1978-04-15,"000K",10,NA,NA,NA,NA,28.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.74,NA,NA,10.44,NA,NA,NA
"10",1978-04-15,"000K",16,NA,NA,NA,NA,28.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.92,NA,NA,10.35,NA,NA,NA
"11",1978-04-15,"00MA",0,NA,NA,NA,NA,27.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.47,NA,NA,12.03,NA,NA,NA
"12",1978-04-15,"00MA",10,NA,NA,NA,NA,28.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.92,NA,NA,10.93,NA,NA,NA
"13",1978-05-15,"000K",0,2.78,65.2,NA,2.43,25.395,0.84,0.12,5.05,5.17,50.5,284.48,NA,NA,8.33,0.1,33.26,NA,6.44,14.27,NA,NA,1.03
"14",1978-05-15,"000K",5,NA,NA,NA,NA,27.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.18,NA,NA,14.09,NA,NA,NA
"15",1978-05-15,"000K",10,2.75,34.39,NA,2.36,27.175,0.18,0.1,3.15,3.25,39.38,271.53,NA,NA,8.33,0.08,36.06,NA,10.64,13.865,NA,NA,7.81
"16",1978-05-15,"000K",15,NA,NA,NA,NA,27.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.67,NA,NA,13.21,NA,NA,NA
"17",1978-05-15,"000K",16,2.84,NA,NA,2.44,27.67,0.42,0.09,1.54,1.63,30.8,215.71,NA,NA,8.32,0.05,36.67,NA,9.41,13.07,NA,NA,11.88
"18",1978-05-15,"00MA",0,2.66,12.95,NA,2.36,24.91,1.8,0.13,4.87,5,162.33,275.55,NA,NA,8.22,0.03,33.77,NA,4.7,15.52,NA,NA,0.74
"19",1978-05-15,"00MA",10,2.6,NA,NA,2.26,27.67,2.1,0.06,0.51,0.57,51,195.61,NA,NA,8.25,0.01,36.85,NA,1.73,13.78,NA,NA,0.6
"20",1978-06-15,"000K",0,2.74,NA,NA,2.23,23.3,1.74,0.09,1.92,2.01,192,245.63,108.1,NA,8.47,0.01,33.53,NA,15.35,21.28,NA,NA,0.44
"21",1978-06-15,"000K",10,NA,NA,NA,NA,25.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.97,NA,NA,20.69,NA,NA,NA
"22",1978-06-15,"000K",15,NA,NA,NA,NA,26.11,NA,NA,NA,NA,NA,209.46,93.2,NA,NA,NA,36.45,NA,NA,19.1,NA,NA,NA
"23",1978-06-15,"00MA",0,NA,NA,NA,NA,24.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.44,NA,NA,21.69,NA,NA,NA
"24",1978-06-15,"00MA",10,NA,NA,NA,NA,24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.61,NA,NA,18.69,NA,NA,NA
"25",1978-07-15,"000K",0,2.75,83.74,NA,2.245,22.56,0.93,0.125,0.035,0.16,3.5,279.795,NA,NA,8.365,0.01,33.68,NA,15.84,24.29,NA,NA,1
"26",1978-07-15,"000K",10,2.68,51.36,NA,2.315,25.155,0.84,0.065,0.07,0.135,7,244.07,NA,NA,8.3,0.01,35.39,NA,8.91,20.39,NA,NA,0.945
"27",1978-07-15,"000K",16,2.945,49.57,NA,2.62,26.535,1.56,0.2,0.64,0.84,3.56,228.215,NA,NA,8.21,0.18,36.87,NA,7.67,18.69,NA,NA,0.83
"28",1978-07-15,"00MA",0,2.64,35.28,NA,2.24,22.73,2.1,0.05,0.93,0.98,93,238.04,NA,NA,8.31,0.01,33.69,NA,0.5,23.74,NA,NA,0.5
"29",1978-07-15,"00MA",10,2.7,28.14,NA,2.35,25.97,1.44,0.05,0.78,0.83,78,234.47,NA,NA,8.24,0.01,36.51,NA,0.5,19.81,NA,NA,0.6
"30",1978-08-15,"000K",0,2.72,NA,NA,2.27,23.83,NA,NA,NA,NA,NA,208.12,96.9,NA,8.28,NA,35.21,NA,NA,23.9,NA,NA,NA
"31",1978-08-15,"000K",10,NA,NA,NA,NA,24.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.88,NA,NA,22.69,NA,NA,NA
"32",1978-08-15,"000K",16,NA,NA,NA,NA,25.39,NA,NA,NA,NA,NA,228.66,99.6,NA,NA,NA,35.84,NA,NA,20.05,NA,NA,NA
"33",1978-09-15,"000K",0,2.91,NA,NA,2.41,25.73,NA,NA,NA,NA,NA,190.25,NA,NA,8.4,NA,36.18,NA,NA,19.73,NA,NA,NA
"34",1978-09-15,"000K",10,NA,NA,NA,NA,26.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.67,NA,NA,19.8,NA,NA,NA
"35",1978-10-15,"000K",0,2.69,38.41,NA,2.25,25.46,2.76,0.09,0.15,0.24,0.815,201.86,84.8,NA,8.365,0.23,35.3,NA,2.6,18.285,NA,NA,0.81
"36",1978-10-15,"000K",10,2.67,25.01,NA,2.295,25.22,2.64,0.07,0.525,0.595,11.55,178.195,75.35,NA,8.345,0.145,34.6,NA,0.495,18.615,NA,NA,0.88
"37",1978-10-15,"000K",16,2.63,16.525,NA,2.23,25.815,2.34,0.12,1.15,1.27,4.11,205.66,87.9,NA,8.32,0.28,35.97,NA,3.47,18.905,NA,NA,0.64
"38",1978-10-15,"00MA",0,2.55,15.18,NA,2.2,25.83,1.02,0.16,0.01,0.17,0.03,209.9,89.5,NA,8.27,0.33,35.97,NA,0.25,18.76,NA,NA,0.72
"39",1978-10-15,"00MA",10,2.48,NA,NA,2.14,25.79,0.36,0.06,0.01,0.07,1,196.06,83,NA,8.28,0.01,35.84,NA,0.75,18.5,NA,NA,0.71
"40",1978-11-15,"000K",0,2.79,NA,NA,2.47,27.29,NA,NA,NA,NA,NA,250.1,99.7,NA,8.21,NA,36.73,NA,NA,15.1,NA,NA,NA
"41",1978-11-15,"000K",10,NA,NA,NA,NA,27.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.73,NA,NA,14.98,NA,NA,NA
"42",1978-11-15,"00MA",0,NA,NA,NA,NA,27.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.47,NA,NA,14.25,NA,NA,NA
"43",1978-11-15,"00MA",10,NA,NA,NA,NA,27.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.33,NA,NA,13.94,NA,NA,NA
"44",1978-12-15,"000K",0,2.68,NA,NA,2.37,29.01,NA,NA,NA,NA,NA,259.03,93.5,NA,8.27,NA,37.66,NA,NA,10.1,NA,NA,NA
"45",1978-12-15,"000K",10,NA,NA,NA,NA,29.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.7,NA,NA,10.08,NA,NA,NA
"46",1978-12-15,"00MA",0,NA,NA,NA,NA,28.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.79,NA,NA,11.01,NA,NA,NA
"47",1978-12-15,"00MA",10,NA,NA,NA,NA,29.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.95,NA,NA,11.26,NA,NA,NA
"48",1979-01-15,"000K",0,2.76,16.745,NA,2.32,NA,3.44,0.725,7.01,7.735,42.33,285.825,97.05,NA,8.46,0.165,36.91,NA,4.16,7.45,NA,NA,0.505
"49",1979-01-15,"000K",10,2.695,15.41,NA,2.23,NA,4.36,0.855,4.315,5.17,19.655,278.23,98.65,NA,8.5,0.22,38.04,NA,1.975,8.665,NA,NA,0.345
"50",1979-01-15,"000K",16,2.65,16.08,NA,2.17,NA,4.13,0.8,3.1,3.9,28.735,269.52,96.45,NA,8.505,0.175,38.17,NA,1.485,9.48,NA,NA,0.33
"51",1979-01-15,"00MA",0,2.79,NA,NA,2.36,NA,2.98,0.69,3.32,4.01,27.67,237.14,82.1,NA,8.45,0.12,37.52,NA,2.28,8.2,NA,NA,0.42
"52",1979-01-15,"00MA",10,2.76,NA,NA,2.33,NA,2.96,0.64,2.82,3.46,31.33,252.78,88.6,NA,8.45,0.09,37.7,NA,1.14,8.7,NA,NA,0.27
"53",1979-02-15,"000K",0,2.77,NA,NA,NA,23.51,NA,0.28,2.1,2.38,2.96,287.61,96.9,8.45,8.33,0.71,30.37,NA,8.02,9.1,NA,NA,1.18
"54",1979-02-15,"000K",10,NA,NA,NA,NA,28.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.16,NA,NA,9.06,NA,NA,NA
"55",1979-02-15,"000K",16,NA,NA,NA,NA,28.85,NA,NA,NA,NA,NA,260.81,91.7,NA,NA,NA,37.19,NA,NA,9,NA,NA,NA
"56",1979-02-15,"00MA",0,NA,NA,NA,NA,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.73,NA,NA,9.4,NA,NA,NA
